id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
1	0	0	0	0.00000000	0.00000000	0.00000000	u,狄恩的領地。氣候溫和，且擁有很多肥沃的農地，因此負責供應亞丁大陸的食糧。\0	1	u,狄恩領地\0
2	1	95	0	50568.00000000	152408.00000000	-2656.00000000	u,由於滲入刑場的席琳之血而變得狂暴的基洛德所占據的要塞。受到血之幻覺迷惑的基洛德，不分人類或怪物全部趕盡殺絕，想要完成為席琳獻上犧牲的使命。\0	1	u,基洛德要塞\0
3	1	23	0	50081.00000000	116859.00000000	-2176.00000000	u,在過去與格勒西亞戰爭的時候，由格勒西亞一方所雇用的傭兵團遺留下來的地方。如今戰爭已結束，他們卻變為盜賊集團，欺負著領地的居民。\0	1	u,反抗軍根據地\0
4	1	25	0	5106.00000000	126916.00000000	-3664.00000000	u,巨人時期，為研究大地神獸-巨大烏龜 克魯瑪而使用的地方。現在則棲息著一群在下巨人時期經實驗而製造出來的各種巨大昆蟲等。\0	1	u,克魯瑪沼澤地\0
5	2	40	0	17225.00000000	114173.00000000	-3440.00000000	u,巨人們為了研究克魯瑪而建造的研究所兼要塞。但是大地神獸-克魯瑪在巨人時代的末期消失得無影無蹤，如今只剩下巨人們所建造的研究所和其副產品。\0	1	u,克魯瑪高塔\0
6	1	20	0	38291.00000000	148029.00000000	-3696.00000000	u,在刑場入口附近的曼陀羅草原。曼陀羅草是狄恩的特產品，難以採集的曼陀羅草可用於各種藥材、酒、食材等。\0	1	u,曼陀羅草原\0
7	3	0	0	15472.00000000	142880.00000000	-2699.00000000	u,在狄恩城正前方的城鎮，主要以農業維生，導致其他產業沒有機會發展。這裡也是曾經引發農民叛亂的地方。\0	1	u,狄恩城鎮\0
8	3	0	0	17308.00000000	170368.00000000	-3495.00000000	u,從狄恩領地前往奇岩港口路口上的一個村莊。在這小規模的鄉下村莊裡，有些平凡的農家和風車等。最近村長開創了一個大規模的農地開拓事業，而且還把工作機會提供給了具有前科的人和外勞們，導致許多罪犯紛紛來到這個小巧寧靜的村莊。\0	1	u,芙羅蘭村莊\0
9	3	0	0	22310.00000000	155917.00000000	-2952.00000000	u,狄恩領主所居住的城。由於此地不是軍事集合點，因此防衛能力也相對地欠缺。\0	1	u,狄恩城\0
10	1	46	0	58316.00000000	163851.00000000	-2816.00000000	u,連接狄恩和奇岩的峽谷。棲息著一群塔諾賽勒諾斯，是個危險的地區。\0	1	u,塔諾峽谷\0
11	1	34	0	34475.00000000	188095.00000000	-2976.00000000	u,本來是狄恩牧草地之一，但自從由一群厲害的蜜蜂築巢之後，沒有人敢將此地用作牧草地。\0	1	u,蜜蜂蜂窩\0
12	1	20	0	29928.00000000	151415.00000000	2392.00000000	u,在狄恩附近形成很多丘陵的地區，而且也是生產大量農作物的地方。由於這裡位於城鎮周圍，因此棲息著很多覬覦城鎮的危險的怪物。\0	1	u,狄恩丘陵地\0
13	1	30	0	10610.00000000	156322.00000000	-2472.00000000	u,由位於古魯丁領地和狄恩領地邊境的芙羅蘭村莊和狄恩城鎮的居民，齊心協力開墾的地區。\0	1	u,芙蘿蘭開墾地\0
14	1	23	0	630.00000000	179184.00000000	-3720.00000000	u,讓狄恩領地維持生計的牧草地。存在著少數覬覦農作物的蜥蜴人或狼人。\0	1	u,狄恩牧草地\0
15	5	0	0	43962.00000000	108861.00000000	-2032.00000000	u,在反抗軍根據地內部的要塞。佔領之後可用為根據地。\0	1	u,反抗軍要塞\0
16	0	0	0	0.00000000	0.00000000	0.00000000	u,連接亞丁南北最重要的交通樞紐。擁有大陸最大的市場，而且也是亞丁王國最富裕的領地。\0	16	u,奇岩領地\0
17	3	0	0	105918.00000000	109759.00000000	-3170.00000000	u,聽說是隱居在龍之谷內部的獨特的大魔法師-哈汀所創立的學院。\0	16	u,哈汀學院\0
18	1	81	0	73024.00000000	118485.00000000	-3720.00000000	u,主要棲息著一群龍之後裔-飛龍的峽谷。進入內部深處的話，就能看到有地龍安塔瑞斯棲息在內的安塔瑞斯洞窟，而由牠所召喚出來的瑪魯克的惡魔們正在那裡守護著地龍的安息。\0	16	u,龍之谷\0
19	2	85	0	131557.00000000	114509.00000000	-3712.00000000	u,根據傳說，此地是所有的龍在臨死之前必訪的峽谷。在峽谷最深處的洞窟裡，棲息著六隻古代龍之一的地龍安塔瑞斯。\0	16	u,安塔瑞斯洞窟\0
20	2	85	0	177160.00000000	114922.00000000	-7704.00000000	u,當安塔瑞斯在與諸神之戰役中敗北後，躲藏其中而隱居的洞窟。然而，安塔瑞斯所擁有的龐大力量招來了一群怪物來到周圍，因此變成了一個極度危險的地方。\0	16	u,安塔瑞斯巢穴\0
21	1	35	0	67933.00000000	117045.00000000	-3544.00000000	u,若踏入連接南北之路兩旁的精靈森林或龍之谷的話，說是會招來死亡，因此才會將這條路命名為死亡迴廊。但是，這條路本身受到周邊崗哨的守護，反而是更加安全。自古以來，這裡是連接亞丁南北的交通樞紐，而如今已逐漸發展為奇岩的商業路線。\0	16	u,死亡迴廊\0
22	7	0	0	41528.00000000	198358.00000000	-4648.00000000	u,可以連接到札肯的根據地-惡魔島的海底隧道。這是以前由札肯的部下們指使抓來的奴隸後，將天然洞窟改建而成的隧道。隨著隧道的竣工，札肯殺害了所有參與工程的部下和奴隸們。之後，他們全都化為含冤而死的不死生物，至今也在此地徘徊。\0	16	u,海賊隧道\0
23	2	45	0	43408.00000000	206881.00000000	-3752.00000000	u,傳說中的海賊 札肯追蹤巨人的寶物而抵達的最後一個地方。但是，在此地所引起的船員們的叛亂，卻讓他永久地囚禁在這座島上。然而，在此地他終於得到了巨人的寶物。\0	16	u,惡魔島\0
24	4	0	0	47938.00000000	186864.00000000	-3420.00000000	u,大陸最大的商業國-奇岩的代表貿易港口，是個針對全世界展開貿易的重要地點。來自世界各地的商人和冒險家們都會聚集此地，因此能夠接觸到各種不同的種族和多樣化的職業。\0	16	u,奇岩港口\0
25	3	0	0	83475.00000000	147966.00000000	-3404.00000000	u,世界最大的商業國-奇岩的城鎮，與其他地區相比，此城鎮是既華麗又繁雜的地方。這裡是奇岩貿易公會聯合本部的所在地，而且還密集著很多工匠們的工房，主要再加工透過奇岩港口進口的原料。\0	16	u,奇岩城鎮\0
26	6	0	0	73579.00000000	142709.00000000	-3768.00000000	u,奇岩城鎮內部的競技場。為了解除來訪奇岩城鎮的各種外地人的煩惱，奇岩領地決定正式經營競技場。\0	16	u,奇岩競技場\0
27	3	0	0	112077.00000000	144869.00000000	-2824.00000000	u,奇岩領主的居處。如同在炫耀奇岩莫大的財富般，這座城裝飾的比亞丁王國還要華麗。\0	16	u,奇岩城\0
28	1	30	0	85546.00000000	131328.00000000	-3672.00000000	u,位於奇岩領地北部的布賴卡獸人的巢穴。\0	16	u,布賴卡的巢穴\0
29	1	31	0	113553.00000000	134813.00000000	-3540.00000000	u,位於奇岩城鎮和奇岩城之間的地方。這裡是鳥妖、梅杜莎以及挑戰牠們後，不幸被化為石頭的犧牲者們所在的地方。\0	16	u,哥肯的花園\0
30	0	0	0	0.00000000	0.00000000	0.00000000	u,位於大陸最西端的領地。此地曾與大陸外部展開過貿易而且具有寬廣的農地，因此被認為是個重要的領地。可是後來不但與大陸外部斷絕了貿易的往來，而且還受到了強悍魔力的影響，導致農地荒廢，如今其重要性已不如往常。但是，尚存的古代遺蹟或謎樣的傳說，依然是讓冒險家們前來此地的理由。\0	30	u,古魯丁領地\0
31	1	30	0	-19120.00000000	136816.00000000	-3762.00000000	u,過去勞斯特恩村莊的所在地。與巴尼司村莊本來是大陸最大的務農村莊之一，但是在巴列斯的動亂時期，失去了大部分的農地，而且好不容易保留下來的領地也在格勒西亞的戰爭中失守淪陷。現在只留下不死生物在此地徘徊。\0	30	u,絕望廢墟\0
32	1	25	0	-42628.00000000	119766.00000000	-3528.00000000	u,過去巴尼司村莊的所在地。與勞斯特恩村莊本來是大陸最大的務農村莊之一，但是在巴列斯的動亂時期，失去了大部分的農地，而且好不容易保留下來的領地也在格勒西亞的戰爭中失守淪陷。現在只留下不死生物在此地徘徊。\0	30	u,悲哀廢墟\0
33	1	35	0	-16526.00000000	208032.00000000	-3664.00000000	u,這裡曾經是具有肥沃農地的地方，但為了封印巴列斯而施展的強大魔法，讓此地變成了荒原。而且，受到當時所施展的魔法之影響，此地的昆蟲或甲殼類生物都變為怪異的型態，尤其是其中的巨大螞蟻造成了極大的威脅。\0	30	u,荒原\0
34	2	29	0	-9959.00000000	176184.00000000	-4160.00000000	u,荒原的巨大螞蟻所挖掘的螞蟻洞窟。在洞窟的最深處棲息著巨蟻女王。\0	30	u,螞蟻洞窟\0
35	3	0	0	-80684.00000000	149770.00000000	-3043.00000000	u,位於古魯丁西部海岸的港口都市。在歷史上曾扮演過與大陸外部展開貿易的據點，但是在格勒西亞戰爭之後卻日漸衰退。如今針對夢想成為冒險家的人，正在行駛前往說話之島的定期船。\0	30	u,古魯丁村莊\0
36	4	0	0	-91101.00000000	150344.00000000	-3624.00000000	u,位於古魯丁村莊西邊的港口。在這個港口中進出著通往說話之島、水上都市海音斯、艾爾摩等地的船。\0	30	u,古魯丁港口\0
37	3	0	0	-12787.00000000	122779.00000000	-3114.00000000	u,古魯丁領地的城鎮。這裡是夢想成為冒險家的人所聚集的地方，而且也是各種族的冒險家志願生初次接觸的大都市。\0	30	u,古魯丁城鎮\0
39	1	35	0	-89763.00000000	105359.00000000	-3576.00000000	u,在過去當格勒西亞與亞丁引起戰爭時，曾被雇用的土瑞克獸人所野營的地方。自格勒西亞戰敗以後，土瑞克獸人就在此地定居了下來。\0	30	u,土瑞克獸人兵營\0
40	2	27	0	-53001.00000000	191425.00000000	-3568.00000000	u,在古魯丁領地的神殿。奇妙的是，這裡的內部構造與說話之島的精靈遺蹟完全一致。記錄中顯示在這裡曾經進行過有關魔力轉移/運用的實驗。\0	30	u,遺忘神殿\0
41	7	0	0	-57798.00000000	127629.00000000	-2928.00000000	u,從悲哀廢墟延伸至西南部的三個湖水之統稱。此地保留著強烈的精靈之力，而且這附近以盛產優良品質的花崗石而聞名。\0	30	u,帕米爾湖\0
42	6	0	0	-87328.00000000	142266.00000000	-3640.00000000	u,古魯丁村莊旁的競技場。\0	30	u,古魯丁競技場\0
43	3	0	0	-18341.00000000	113946.00000000	-1268.00000000	u,為了防範格勒西亞的入侵而建造的要塞風格的城，具有強調防禦功能的構造。在ED.1486年，由於格勒西亞 - 亞丁之間所引起的激烈的攻城戰，使得到處都留下了遭到破損的痕跡。\0	30	u,古魯丁城\0
44	1	26	0	-88539.00000000	83389.00000000	-2864.00000000	u,在過去封印巴列斯的時候，由一群瘋狂的風的精靈所聚集的地方。從海的另一端吹來的風吹襲著峽谷和山脈，使得這個地帶形成了一個漩渦。\0	30	u,風之丘陵\0
45	1	30	0	-44829.00000000	188171.00000000	-3256.00000000	u,在過去封印巴列斯的時候引起了一場大爆炸，使得被推擠出來的土地和岩石在此地形成了一個山脊，而地底深處的土壤被翻開之後，呈現出一片紅色。\0	30	u,赤岩稜線\0
46	1	16	0	-44763.00000000	203497.00000000	-3592.00000000	u,由於此地鄰近海邊而盛產海鮮，再加上與古魯丁的道路相連，因此吸引了喜歡掠奪的朗克蜥蜴人定居此地。\0	30	u,朗克蜥蜴人兵營\0
47	1	24	0	-25283.00000000	106820.00000000	-3416.00000000	u,在古魯丁城西部築巢的雄性蜥蜴人的兵營。牠們具有成群行動的特性，而且虎視眈眈地正在尋找機會攻擊古魯丁城。\0	30	u,雄性蜥蜴人兵營\0
