id	string
1	u,你好！我是「$s1」。呵呵，你是「$s2」吧？嘻嘻嘻。\0
2	u,「$s1」--「$s2」--「$s3」--「$s4」//「$s5」嘻嘻嘻。\0
3	u,活性化\0
4	u,非活性化\0
5	u,「$s1」/「$s2」「$s3」點，將會匯出下次的使用費。\0
6	u,（<font color="FFAABB">「$s1」</font>金幣/「$s2」天）\0
7	u,「$s1」<a action="bypass -h menu_select?ask=-270&reply=「$s2000」">不啟用</a>「$s3」\0
8	u,階段\0
9	u,「$s1」階段\0
10	u,「$s1%%」\0
1000001	u,發現未經許可的目標。\0
1000002	u,啟動侵入者消滅系統。\0
1000003	u,消滅侵入者中。\0
1000004	u,發生致命錯誤。\0
1000005	u,系統關閉中...\0
1000006	a,...... \0
1000007	u,給我走著瞧!\0
1000008	u,今天受到恥辱， 下次一定奉還給你!\0
1000009	u,撤退!\0
1000010	u,先退再說!\0
1000011	u,先逃再說!!\0
1000012	u,比我想像中還厲害!\0
1000013	u,下一次要讓你下地獄!\0
1000014	u,下次一定讓你下地獄!\0
1000015	u,哼! 厲害!\0
1000016	u,有入侵者!\0
1000017	u,就算殺了我，你也得不到什麼！\0
1000018	u,下次...我一定會吃掉你的!\0
1000019	u,幹嘛只揍我啦~\0
1000020	u,不要再打了!\0
1000021	u,疼到骨子裡了!\0
1000022	u,我不是出氣筒啦!\0
1000023	u,有種就跟我來!\0
1000024	u,投降!\0
1000025	u,哎唷...我快死了啦!\0
1000026	a,I'll be back!\0
1000027	u,救我就送你1000萬金幣 !\0
1000028	u,「$s1」，領悟一下自己有多無能吧！\0
1000029	u,「$s1」！我會讓你體驗何謂真正的恐怖！\0
1000030	u,竟敢向我挑戰。「$s1」！等著瞧！\0
1000031	u,「$s1」，不要再使用同樣的招數了！\0
1000032	u,我一定會討回被侮辱的名譽！\0
1000033	u,讓你看看名譽被摧殘的騎士之恨！\0
1000034	u,將偽善者處死吧！\0
1000035	u,在洗清我的冤屈之前，我是不會死的！\0
1000036	u,憤恨世俗的人們，我來了！\0
1000037	u,讓你也變成冤魂吧！\0
1000038	u,以抱怨和憎恨，詛咒你！\0
1000039	u,為了格勒西亞的榮耀！\0
1000040	u,你竟敢與我為敵？\0
1000041	u,我，我竟然被打敗了！！！\0
1000042	u,我是傳達奴爾卡旨意的使者！全都給我讓開！\0
1000043	u,阻擋我的人！誰也不能活著離開！\0
1000044	u,誰敢阻擋我！\0
1000045	u,我的隊友必將復仇！\0
1000046	u,絕不能饒了以血污染我們神聖之地的人！\0
1000047	u,向我的權威挑戰的卑賤傢伙，都出來！\0
1000048	u,...獻給我的主人...我的創造者...不變的忠誠...\0
1000049	u,塔的...主人...我的主人...主人...在哪裏啊？\0
1000050	u,我 是 執 行 核 心 意 志 的 人\0
1000051	u,破 壞 入 侵 者\0
1000052	u,狀 態 異 常，不 能 操 作\0
1000053	u,奉巴列斯的命令...讓我來觀察你們！\0
1000054	u,只知道背叛、陰謀、屠殺的愚笨傢伙...看著你們，真讓人煩悶。\0
1000055	u,向我挑戰就是向巴列斯挑戰...\0
1000056	u,巴列斯總是俯視著你們！\0
1000057	u,末日將至！安塔瑞斯睜開了雙眼！ \0
1000058	u,違抗安塔瑞斯意志的人！去死吧！\0
1000059	u,安塔瑞斯，請收回我的生命吧！\0
1000060	u,為了找回寶物，渡過死亡沼澤，而回到此地！\0
1000061	u,將寶貴的金銀珠寶獻給我！\0
1000062	u,我將一擊殺了你！\0
1000063	u,不！寶物還...！\0
1000064	u,侵犯龍之谷的人，絕不能讓他活著出去！\0
1000065	u,我是奉安塔瑞斯之命守衛這裡的守護者！\0
1000066	u,未經許可，膽敢步入龍之谷！以死謝罪吧！\0
1000067	u,安塔瑞斯，請收回我的生命吧！\0
1000068	u,殺戮的喜悅！掠奪的快感！今天大伙再幹一票吧！\0
1000069	u,世上不知膽怯的傢伙仍然很多！讓你們瞧瞧我們的厲害！\0
1000070	u,將所有東西交出來就饒了你！\0
1000071	u,沒想到我會對你這傢伙下跪！\0
1000072	u,服從主人之意，懲戒所有入侵者！\0
1000073	u,服從主人之意，我將擊倒入侵者！\0
1000074	u,死亡是短暫的安息罷了...\0
1000075	u,注意聆聽！人類的時代已經結束了！安塔瑞斯甦醒了！ \0
1000076	u,我將你的生命獻給安塔瑞斯！\0
1000077	u,我！竟被未開化的種族打敗了！\0
1000078	u,背負黑暗權勢，從深淵世界回來了。\0
1000079	u,可惡極了。\0
1000080	u,終於迎接安息...\0
1000081	u,以奧爾芬之光榮！\0
1000082	u,以奧爾芬之名，絕不容你們侵犯此地！\0
1000083	u,膽敢侵犯奧爾芬的領域，就要你們付出代價！\0
1000084	u,雖然...我這樣虛無地消失…但你們將一輩子受困於我的詛咒...\0
1000085	u,妄想奪取神聖妖精樂園的人啊，我將親自對付你們！\0
1000086	u,污辱我們樂園的人，我將親手擊倒你！\0
1000087	u,直到將你和你的同伴趕出這座谷之前，我的兄弟姐妹將永不停息！\0
1000088	u,直到黑斯吐伊滅亡為止！\0
1000089	u,若還有其他生存的勇猛半獸人，都放馬過來吧！\0
1000090	u,讓我來殺了你！\0
1000091	u,難道復仇將以失敗收場嗎 . . ！\0
1000092	u,小矮人的閃耀米索莉寶石啊！我要全部拿走！\0
1000093	u,膽怯的小矮人和閃耀的石子都在哪裏呢～\0
1000094	u,交出來！!漂亮的寶石！\0
1000095	u,哼！早知道就逃走了！\0
1000096	u,破壞、掃蕩、殺戮、滅亡！破壞、掃蕩、殺戮、滅亡！\0
1000097	u,破壞！破壞！破壞！破壞！\0
1000098	u,破壞！破壞！破. . .\0
1000099	u,你看！歸來的烏山卡！\0
1000100	u,哈哈哈哈！從今天起，這座島就屬於烏山卡的啦！\0
1000101	u,哼！真有兩下子！\0
1000102	u,真是既悔恨又無奈啊...竟然就這麼輕易的被打敗了...\0
1000103	u,世界應該充滿恐怖與悲哀...\0
1000104	u,我絕不原諒詛咒我的世界！\0
1000105	u,我會讓你們全部都承受跟我一樣的痛苦！\0
1000106	u,我會讓你承受永遠無法解除的詛咒！\0
1000107	u,我會對屠殺同胞的你們報仇！\0
1000108	u,膽怯的傢伙滾出去，勇敢的傢伙衝過來吧！\0
1000109	u,我是獲得巴列斯力量的人，怎麼可能這麼容易就被你擊敗！\0
1000110	u,雖然我這樣消失，但另一個我一定會來懲戒你們！\0
1000111	u,喂，我們去巡視一下我們的區域吧！\0
1000112	u,聽說最近在我的地盤裡有個傢伙很猖狂...\0
1000113	u,你知不知道我是誰！我就是西洛可！進攻！\0
1000114	u,天啊！從未戰敗的西洛可竟然被你擊敗！\0
1000115	u,餓極了，咕嚕～\0
1000116	u,有食物的味道，咕嚕～\0
1000117	u,咕嚕～\0
1000118	u,這裡的蜂蜜是什麼口味呢！\0
1000119	u,將又甜又可口的黃金色蜂蜜拿出來！\0
1000120	u,若將蜂蜜拿出來，就饒了你...\0
1000121	u,要是找到了蜂蜜...我就不會被你擊敗的...\0
1000122	u,背叛者庫勒保洛斯在哪裡！\0
1000123	u,全都給我搜查一遍！\0
1000124	u,你是庫勒保斯的手下嗎？我將一擊殺了你！\0
1000125	u,竟然在還沒處決背叛者之前就要死去...真不甘心！\0
1000126	u,庫勒保斯，不信者的地獄！\0
1000127	u,不信庫勒保洛斯的人，你的人生就會是地獄！\0
1000128	u,供奉假神的惡魔手下！我將親自擊倒你！\0
1000129	u,啊...我不是死去，而是暫時消失罷了...我將會重新復活！\0
1000130	u,庫勒保洛斯教主萬歲！\0
1000131	u,只有信奉庫勒保洛斯，才能得到救贖！\0
1000132	u,你們是被夏魯克慫恿的傢伙嘛！你們也來供奉庫勒保洛斯，一起獲得救贖吧！\0
1000133	u,庫勒保洛斯將懲戒你們。\0
1000134	u,帶有玲瓏閃耀的美麗靈魂之人啊！我回來了！\0
1000135	u,勞累疲倦的人啊...將靈魂交付給我吧...\0
1000136	u,你那靈魂的光彩真是令人喜愛。\0
1000137	u,活著的人啊！你們知不知道你們的靈魂有多漂亮！\0
1000138	u,我會...將...全部...打死....\0
1000139	u,孤...孤單...孤單...\0
1000140	u,我...我的...仇...仇人...！\0
1000141	u,...現在...不會再.孤單！\0
1000142	u,要將我們…趕盡殺絕的...小精靈莫妮卡！我絕不原諒！\0
1000143	u,莫妮卡的卑賤手下，都衝過來吧！\0
1000144	u,以你的意志是絕對不可能的！\0
1000145	u,這不是結束...而是開始而已。\0
1000146	u,呵...好久沒有出來玩了，我們來玩遊戲吧...\0
1000147	u,聽說近來有個狂妄的傢伙...\0
1000148	u,這傢伙，你知不知道我是誰！我就是瑪雷斯！大家進攻！\0
1000149	u,天啊！從未戰敗的瑪雷斯竟被你擊敗...\0
1000150	u,不斷輪迴反覆的荒謬人生...\0
